gender,Partner,Dependents,PhoneService,PaperlessBilling,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,InternetService_DSL,InternetService_Fiber optic,InternetService_No,MultipleLines_No,MultipleLines_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure,MonthlyCharges,charges_per_month,cost_per_service,SeniorCitizen,num_services,is_senior_with_no_support
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.6086956521739131,-0.023924545663676047,-0.025518075893491195,5.200044627914761,0.0,0.0,0.0
0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.3695652173913043,0.6404416839199447,0.6563065575899439,0.0439138681245119,0.0,4.0,0.0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5217391304347826,0.4711295146077754,0.3691975165302938,0.36148610956153077,0.0,3.0,0.0
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9130434782608695,0.2870945479641131,0.2676431691155711,-0.8943434118040835,0.0,6.0,0.0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.5652173913043478,0.11870255348516223,0.10188857094720916,6.030123842463461,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.021739130434782608,-0.9358178053830228,-0.8954053331570514,-0.10710699542563874,0.0,0.0,0.0
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.08695652173913043,-0.9256958822176213,-0.923808439955144,-0.04819814794153736,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,-0.8456406717276284,-0.8267628818686996,0.4177172821599913,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3695652173913043,0.7269381182424661,0.6502378306566612,-0.2481312060693964,1.0,5.0,1.0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.43478260869565216,0.0,-0.07635822823857831,5.3392837219680915,0.0,0.0,0.0
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.21739130434782608,0.30089717046238773,0.21588399180467774,2.439361820818922,0.0,1.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.3695652173913043,-0.38831377961812746,-0.3604964893117988,0.43378333147383696,0.0,1.0,0.0
1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.34782608695652173,0.5189786059351278,0.5509970010606776,-0.09746736583733089,1.0,4.0,0.0
0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.15217391304347827,0.6257188865884519,0.58382360946743,0.026776748856409686,0.0,4.0,0.0
1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.1956521739130435,0.45272601794340916,0.48784818025309556,0.3347093607051211,0.0,3.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.6086956521739131,-0.9440993788819876,-0.944316009840849,-0.1553051433671761,0.0,0.0,0.0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.41304347826086957,0.5152979066022545,0.6098306954311068,0.42575030681691417,0.0,3.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.34782608695652173,-0.47296986427421217,-0.5066854862253075,2.5866339395291753,0.0,0.0,0.0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.2391304347826087,0.21164021164021166,0.158088377906989,-0.45520473055896465,0.0,4.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.17391304347826086,-0.4619277662755924,-0.5059252334649934,-0.9960950574584402,0.0,3.0,0.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.5217391304347826,-0.9229353577179664,-0.8487610247103239,-0.03213209862769132,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.391304347826087,0.08189556015642978,0.06519233831258434,1.802075198036372,0.0,1.0,0.0
1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7608695652173914,0.5272601794340926,0.47476739914084504,-0.08782773624902342,0.0,4.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.6086956521739131,-0.2751322751322752,-0.27634991186111996,0.7631373424076761,0.0,1.0,0.0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.17391304347826086,0.40487692661605706,0.4279211206978265,1.0907062367510878,1.0,2.0,1.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.41304347826086957,0.6395215090867264,0.6160708647324988,0.04284279817025573,0.0,4.0,0.0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.1956521739130435,0.4426040947780078,0.44826007874646384,1.1638960169586077,1.0,2.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.06521739130434782,-0.01840349666436623,-0.024917323398218047,-0.3507754100189667,0.0,3.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.021739130434782608,-0.9404186795491144,-0.9427846799509368,-0.13388374428204844,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8695652173913043,-0.06625258799171832,-0.0779561376889217,-0.42039495704563173,0.0,3.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7391304347826086,0.34782608695652184,0.33559868033619966,-0.8438501139605679,0.0,6.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.5217391304347826,-0.9413388543823327,-0.8338764981803766,-0.13923909405333007,0.0,0.0,0.0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.21739130434782608,-0.9210950080515298,-0.9249034586210384,-0.021421399085127673,0.0,0.0,0.0
1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.5434782608695652,0.5741890959282264,0.377604517625912,0.5114359031574253,0.0,3.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.6739130434782609,0.564067172762825,0.5611037783340982,0.4967086912864,0.0,3.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.21739130434782608,0.6036346905912123,0.6494599010558362,0.0010710699542565549,0.0,4.0,0.0
0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.391304347826087,0.5797101449275363,0.6162205174262858,0.5194689278143481,0.0,3.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.043478260869565216,0.5419829767655855,0.5918252197900415,0.46457659265870827,1.0,3.0,1.0
1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.021739130434782608,0.2539682539682539,0.19658601133938328,0.04552047305589654,0.0,3.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5217391304347826,-0.84472049689441,-0.8536843947714756,0.4230726319312733,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5217391304347826,0.34690591212330335,0.399701607937346,0.18074305478076538,0.0,3.0,0.0
1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4782608695652174,0.1674718196457326,0.1350013278608413,2.0510989624009817,1.0,1.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9130434782608695,0.3459857372900851,0.35635246259739006,-0.84538021389522,0.0,6.0,0.0
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.6956521739130435,-0.8373590982286635,-0.8457636347290857,0.4659154301015287,0.0,0.0,0.0
1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.45652173913043476,0.07361398665746492,0.09610780061279013,1.7779761240656033,1.0,1.0,1.0
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.41304347826086957,-0.28617437313089483,-0.2518180070247254,-0.2499163226598236,0.0,2.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.3695652173913043,-0.3800322061191626,-0.3520741749172813,-0.876938525047417,0.0,3.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8043478260869565,-0.1223832528180354,-0.10976906220030032,0.0678344304362382,0.0,2.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.10869565217391304,-0.18495514147688055,-0.194002647031088,-0.5931049871694744,0.0,3.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.5434782608695652,-0.25764895330112725,-0.21708744512151537,-0.19457770835657703,0.0,2.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.5434782608695652,0.339544513457557,0.33465071421387294,0.9639629588307491,0.0,2.0,0.0
0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.13043478260869565,-0.2742121002990568,-0.23844293424340604,-0.22670980698426835,0.0,2.0,0.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.34782608695652173,0.27973314929836673,0.2456702387440378,0.08300792145487025,1.0,3.0,0.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.782608695652174,0.7269381182424661,0.7210123131151518,-0.2481312060693964,0.0,5.0,0.0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.32608695652173914,0.1913963653094089,0.21599452388695706,2.1207185094276477,0.0,1.0,0.0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6956521739130435,-0.36438923395445133,-0.3666632300897815,-1.1256945219234629,0.0,4.0,0.0
1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8478260869565217,0.18127444214400726,0.15541755842252447,0.656922905277251,0.0,2.0,0.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.13043478260869565,-0.23464458247066944,-0.27219534729022754,-0.6654022090817805,0.0,3.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5652173913043478,0.2033586381412468,0.20952714102722364,0.6997657034475067,0.0,2.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8695652173913043,-0.8474810213940649,-0.8395464135466778,0.4070065826174273,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.4782608695652174,0.19783758914193697,0.2257075306172579,-0.7613522258172486,0.0,5.0,0.0
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9347826086956522,0.1573498964803312,0.16546428354339973,2.0216445386589315,0.0,1.0,0.0
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6956521739130435,-0.3827927306188175,-0.4050268093973867,0.449849380787683,0.0,1.0,0.0
1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7608695652173914,0.180354267310789,0.14356945638825838,0.6551377886868237,1.0,2.0,1.0
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.06521739130434782,0.4177593742811135,0.3859885487731816,1.1156978690170705,1.0,2.0,1.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.6086956521739131,0.16655164481251433,0.16467309643361178,2.048421287515341,0.0,1.0,0.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.5652173913043478,0.21716126063952146,0.016134097112122343,0.7265424523039163,0.0,2.0,0.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.5652173913043478,-0.9256958822176213,-0.9871932467583924,-0.04819814794153736,0.0,0.0,0.0
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9347826086956522,0.2558086036346907,0.25881160141596815,-0.705121053218788,0.0,5.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.06521739130434782,-0.7490223142397057,-0.741261666438483,-0.6158652236974226,0.0,1.0,0.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.21739130434782608,0.5511847250977686,0.494144611978581,-0.05997991743835756,0.0,4.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.6086956521739131,-0.9376581550494595,-0.9378844243032176,-0.1178176949682024,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.6086956521739131,-0.9385783298826778,-0.938803222237165,-0.1231730447394844,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5869565217391305,0.3386243386243387,0.33307563204139173,0.9621778422403219,0.0,2.0,0.0
